English Word,French Word,Frequency
abide,respecter,45
about,sur,414
above,au dessus,147
abroad,à l'étranger,64
absence,absence,55
abuse,abuser de,76
according,selon,55
account,Compte,57
accuse,accuser,53
acquainted,connaissance,43
action,action,234
advantage,avantage,88
advice,Conseil,43
affairs,affaires,68
affection,affection,118
affections,affections,40
afraid,peur,41
after,après,543
again,encore,1364
alive,vivant,93
almost,presque,161
alone,seul,237
along,le long de,112
already,déj�,148
although,bien que,79
always,toujours,63
ambition,ambition,49
ancient,ancien,82
angel,ange,209
anger,colère,419
another,un autre,454
answer,répondre,480
anything,n'importe quoi,105
apparel,vêtements,48
appear,apparaître,231
approach,approche,103
argument,argument,78
ariel,Ariel,17
armour,armure,57
aside,de côté,468
asleep,endormi,60
assure,assurer,71
athens,Athènes,71
attend,assister,376
authority,autorité,55
avoid,éviter,52
awake,éveillé,87
awhile,quelque temps,102
banish,bannir,205
barren,Dénudé,43
bassianus,bassianus,21
bastard,Connard,105
battle,bataille,146
beard,barbe,124
bearing,palier,76
bears,ours,110
beast,la bête,130
beaten,battu,50
beauty,beauté,233
because,car,187
become,devenir,210
bedford,Bedford,11
before,avant,840
beggar,mendiant,125
begin,commencer,188
behalf,nom,46
behind,derrière,120
behold,voir,199
being,étant,664
believe,croyez,253
belike,être comme,42
below,au dessous de,54
benefit,avantage,47
besides,outre,109
betray,trahir,68
better,mieux,612
between,entre,241
beyond,au-del�,60
birth,naissance,101
bishop,évêque,59
bitter,amer,96
black,noir,195
blame,faire des reproches,94
bless,bénir,277
blest,heureux,84
blind,aveugle,105
blood,du sang,947
blows,coups,73
blunt,cru,73
blush,rougir,89
bodies,corps,44
bones,des os,76
borne,supporté,96
bottom,bas,53
bought,acheté,51
bound,lié,229
bounty,prime,42
brain,cerveau,154
brave,courageux,223
breast,Sein,117
breath,souffle,360
breed,race,110
brief,bref,114
bright,brillant,82
bring,apporter,526
broke,cassé,238
brook,ruisseau,93
brother,frère,728
brought,apporté,196
brows,sourcils,49
burden,fardeau,62
buried,enterré,59
burning,brûlant,52
business,Entreprise,236
cannot,ne peux pas,762
capitol,Capitole,43
captain,capitaine,160
cardinal,cardinal,103
cares,se soucie,36
carry,porter,113
castle,Château,116
catch,capture,93
cause,cause,362
cease,cesser,68
certain,certain,236
chain,chaîne,81
chair,chaise,46
challenge,défi,57
chamber,chambre,167
chance,chance,202
change,changement,245
charge,charge,270
charity,charité,55
chaste,chaste,46
cheek,joue,152
cheer,acclamation,132
chide,gronder,59
chief,chef,159
child,enfant,379
choice,choix,72
church,église,100
cinna,cinna,19
citizen,citoyenne,80
civil,civil,68
claim,prétendre,186
clarence,clarté,98
claud,claud,259
claudio,Claudio,132
clear,clair,86
clifford,Clifford,65
close,proche,168
cloten,cailloter,21
clothes,vêtements,41
clouds,des nuages,59
clown,pitre,61
college,Université,6
colour,Couleur,168
comes,vient,635
comfort,confort,254
coming,venir,172
cominius,cominius,19
command,commander,291
commend,saluer,155
commission,commission,52
commit,commettre,86
common,commun,238
companion,un compagnon,55
company,entreprise,215
complete,Achevée,24
complexion,complexion,47
condition,état,88
conduct,conduite,53
confess,avouer,185
conscience,conscience,127
consent,consentement,112
consider,considérer,89
constable,gendarme,44
constant,constant,72
